"NAMA","KOMENTAR"
"fairelyy","kaya bocah pacaran chattan nya🥲"
"aryantidede99","Sekarang udah klarifikasi ternyata beneran dong"
"mariachristina375","syahnazs tega benar sih kamu sebagai  seorang wanita"
"sby_kota123","ah palingan Buat konten itu😂😂"
"yuniadza","anak smp aja kalah sama chat nya😂"
"winimussafa","Hanya demi kepuasan, kesenangan, ""sensasi"" sesaat kalian korbankan perasaan pasangan dan anak-anak 😢"
"ekka.putra","Emang lagi musim nya 2023 ""Perceraian"""
"ganjar_baswedan","Kalau mau jujur sepertinya sudah tidur bareng ya ??"
"therryp9","Orang suka selingkuh tipe orang yg tidak setia selain karena gatal dan suka merusak rumah tangga orang, org tersebut ga layak di contohi perilaku buruknya.."
"tarzan_cileup","Fix ni cewe gatel ga tahan kayanya 😂"
"moli_imutt","Heran suaminya ko masih aja belain si ulet bulu nanaz ya"
"ririmuss17","Kayanya tim selebritis lagi selingkuh massal"
"akuorgpalu","Sumpah ya si nanas bnr2 ga tw malu"
"desy_ariefin","Ini benar ga sih beritamya ? Di ketikan lady nanas bayarin hotel ciputra tggl 8 agustus 2023,lah sekarang kan masih bln juni 2023 ?"
"irawansah.putra","Kurang baik apa si lady tu, uda stahun ktahuan gak di umbar, uda dberi ksempatan buat tobat tp gk tibat, ya membang perly dbebeerkan buar mereka tau rasa,"
"syscoid","Ahh mungkin hanya demi content itu.. curhat masalah rumah tangga kok di sebar2 di public.. manusia aneh..."
"tantysann","Kurang brsyukur.....judulnya😢Dua duanyaaaaa"
"lianadiroh","Tapi itu tato ga mirip2 bngt sm sih sahnaz sih.."
"erna_babel","Si sahnaz krg kasih syg deh kyk ny , mnding suami yg skrg lah .. Gak tato tatoan ditubuh .. Itu yg di idolakn bertato... Buka mata mu lebar2 sahnaz .. Suami mu ttp yg terbaik , pikirkan ank2 mu yg lucu itu .. Dunia ini hny sementara , jgn terlena hingga lupa bwa bekal utk akhirat , smg Allah bukakn mata hati mu @syahnazs"
"taridwiwulan","Istrinya sedang hamil.. sang suami chat berlebih dengan cewe lain.. luar biasa syekali memang 💔"
"had_zar7","Jadi mual melihat ke uwuan mereka🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮"
"ayanaa.puttri","Mba nanas orangnya romantis dan pengertian banget"
"yunithakero","meruntuhkan hati nurani & serakah (karna sudah cukup dari segi materi namun menyakiti hati org lain, anak2, dan mempermainkan hidup org lain demi nafsu dirinya tanpa merasa bersalah, melainkan merasa hebat & merasa selingkuh adalah suatu prestasi). Wajah rupawan tanpa perbuatan selingkuh hanya akan dikenal sebatas wajah rupawan tanpa ada embel2 selingkuh. Dapat dikatakan seseorang itu selingkuh bukan dari wajah yg rupawan tetapi dari fakta dan perbuatan nyata seseorang yg memang terbukti selingkuh. Orang yg memiliki wajah yg rupawan tidak dapat dikatakan selingkuh kalau dirinya tidak serakah ingin memiliki pasangan org lain & tidak merasa dirinya sempurna yg bisa melakukan perselingkuhan."
"asmi_anty","Astagfirullah ngk nyangka sih"
"megalmegol99","percuma cantik klo murahan..gak ada harga nya gak bisa hargain janji suci"
"ester_wiyono","Kelaut aja peselingkuh"
"street_broken","Tahun 2023 musim nya kasus perselingkuhan 😂"
"jmvp31","Gojek tambah hebat skrg jadi bisa pesen ayang juga"
