"aamiin","amin"
"ad","ada"
"ade","adik"
"adek",""
"adeku","adik aku"
"ajaaaaa","aja"
"ajja",""
"amaziiing","amazing"
"ampunnn","ampun"
"ank","anak"
"aq","aku"
"ati","hati"
"bakal","akan"
"banyaaaak","banyak"
"begt","banget"
"bener","benar"
"beritamya","beritanya"
"bersyukurrr","bersyukur"
"beud","banget"
"bgt",""
"bgtu","begitu"
"bkin","bikin"
"bkl","akan"
"blackalauist","blacklist"
"blacklost",""
"blm","belum"
"bln","bulan"
"bngt","banget"
"bnr","benar"
"brani","berani"
"brsyukur","bersyukur"
"bsa","bisa"
"buar","biar"
"bukakn","buka kan"
"bukam","bukan"
"bukannya","bukan nya"
"bwa","bawa"
"byk","banyak"
"cepet","cepat"
"chatn","chattan"
"chek","check"
"contohi","contoh"
"cwe","cewe"
"d","di "
"da","ada"
"dah","sudah"
"dbebeerkan","di beberkan"
"dberi","di beri"
"dgan","dengan"
"dgn",""
"dl","dulu"
"dll","dan lain lain"
"dlu","dulu"
"dmna","dimana"
"dmpak","dampak"
"dn","dan"
"dng ","dengan"
"dngan",""
"dpat","dapat"
"dpt",""
"dr","dari"
"dsembunyikannya","di sembunyikan"
"duanyaaaaa","duanya"
"duitt","duit"
"dy","dia"
"emaknya","ibu nya"
"emg","emang"
"emng",""
"engga","tidak"
"fedback","feedback"
"femirsahh","pemirsa"
"ga","tidak"
"gaada","tidak ada"
"gaet","ambil"
"gag","tidak"
"gaiiiisss","guys"
"gak","tidak"
"gakk","tidak"
"gatau","tidak tahu"
"gilaaa","gila"
"gileeee",""
"gileee",""
"gimana","bagaimana"
"gk","tidak"
"gmna","gimana"
"gtau","tidak tahu"
"gtu","gitu"
"gue","gua"
"gw",""
"hajarr","hajar"
"hny","hanya"
"hrusnya","harusnya"
"hub","hubungan"
"idolakn","idolakan"
"inima","ini mah"
"jd","jadi"
"jdi",""
"jg","juga"
"jgn","jangan"
"jn",""
"jng",""
"kalauau","kalau"
"karna","karena"
"kbyang","kebayang"
"kee","ke"
"kek","kayak"
"keliatan","terlihat"
"keluargax","keluarga"
"kelurin","keluarin"
"kgak","tidak"
"kitakuncinya","kita kuncinya"
"kknya","kakak nya"
"kliatan","terlihat"
"klo","kalau"
"klu",""
"kluarga","keluarga"
"klw","kalau"
"kn","kan"
"knikmatan","kenikmatan"
"knp ","kenapa"
"knpa",""
"krg","kurang"
"krn","karena"
"krna",""
"ksempatan","kesempatan"
"ksian","kasian"
"ktahuan","ketahuan"
"ku","aku"
"kya","kayak "
"kyk",""
"lbh","lebih"
"lebel","label"
"lg","lagi"
"lgi",""
"liburannnn","liburan"
"lo","lu"
"lqgi","lagi"
"ma","sama"
"macem","macam"
"masasih","masa sih"
"mbak","mba"
"mbk",""
"membang","memang"
"mendapatkann","mendapatkan"
"menyalaa","menyala"
"mgkn","mungkin"
"mlh","malah"
"mmentingkn","mementingkan"
"mmg","memang"
"mnding","mending"
"mnjalin","menjalin"
"nass","nas"
"ndiri","sendiri"
"ndk","tidak"
"nggak",""
"ngk",""
"ngreyog","ngereog"
"ngulqngi","ngulangi"
"ny","nya"
"nyngka","nyangka"
"ogh","tidak mau"
"org","orang"
"orng",""
"pdahal","padahal"
"pdhal",""
"pecattt","pecat"
"pengen","ingin"
"perly","perlu"
"perly",""
"persi","versi"
"pgn","ingin"
"pngen",""
"prmpuan","perempuan"
"prsaan","perasaan"
"q","aku"
"rmh","rumah"
"rsa","rasa"
"rumh","rumah"
"sahx","sah"
"samaa","sama"
"sampe","sampai"
"sbar","sabar"
"sbg","sebagai"
"sblum","sebelum"
"sdh","sudah"
"seeeh","sih"
"segmpang","segampang"
"Selingkoh","selingkuh"
"sempet","sempat"
"sh","sih"
"sihhh",""
"sihhhh",""
"skrang","sekarang"
"skrg",""
"slalu","selalu"
"slingkuh","selingkuh"
"smg","semoga"
"smpi","sampai"
"smpt","sempat"
"soalny","soalnya"
"sorg","seorang"
"sshnya","susah nya"
"stahun","satu tahun"
"stress","stres"
"stresss",""
"sudh","sudah"
"sy ","saya "
"syahnass","syahnas"
"syekali","sekali"
"syg","sayang"
"takuttt","takut"
"tapj","tapi"
"tdk","tidak"
"tegah","tega"
"tembuss","tembus"
"tggl","tanggal"
"tgl",""
"th ","tahun"
"thn",""
"tibat","tobat"
"tmn","teman"
"tp","tapi"
"tpi",""
"trnyata","ternyata"
"trs","terus"
"tshun","tahun"
"ttp","tetap"
"tu","itu"
"tw","tau"
"uda","sudah"
"uda","udah"
"udah","sudah"
"udh",""
"ulngi","ulangi"
"utk","untuk"
"utk",""
"walw","walau"
"wat","buat"
"wlw","walau"
"yaampuuuun","yaampun"
"yahh","ya "
"yg","yang"
"ni","ini  "
"liatt","liat"
"benerr","benar"
"bener","benar"
"njir","anjir"
"jir",""
"bjir",""
"anjiiirr",""
"anjiiiir",""
"yaa ","ya"
"bini","istri"
"seruuu","seru"
"dilemma","dilema"
"dtempat","di tempat"
"cantikk","cantik"
